Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,7.622500,7.699643,7.466071,7.520714,6.447997,2124925600
2010-01-08,7.510714,7.607143,7.289286,7.479643,6.412786,2543086000
2010-01-15,7.533214,7.698214,7.352500,7.431071,6.371140,2544382400
2010-01-22,7.385000,7.632500,7.041429,7.117500,6.102295,6710648000
2010-01-29,7.181429,7.221429,6.794643,6.858929,5.880607,4067151200
2010-02-05,6.879643,7.133929,6.816071,7.095357,6.083311,2882171600
2010-02-12,7.075357,7.296786,6.982143,7.247500,6.213752,2058428400
2010-02-19,7.209286,7.257143,6.989643,7.214286,6.185277,2506820400
2010-02-26,7.227857,7.532857,7.214286,7.525357,6.451979,2362194800
2010-03-05,7.676429,8.053571,7.665357,8.053571,6.904852,3251687600
2010-03-12,8.120357,8.133214,7.866071,8.023214,6.878824,2149800800
2010-03-19,8.028214,8.248929,7.862500,8.094643,6.940064,2758361200
2010-03-26,8.176786,8.526071,8.162500,8.427500,7.225446,2742734400
2010-04-02,8.392143,8.640000,8.384643,8.569643,7.347312,2333016000
2010-04-09,8.622500,8.893929,8.587857,8.890000,7.621976,1754281200
2010-04-16,8.877500,9.526786,8.634643,9.516786,8.159358,3831612400
2010-04-23,9.571071,9.730714,9.157500,9.594286,8.225807,3302611200
2010-04-30,9.618214,9.663214,7.116071,8.794643,7.540222,3889589200
2010-05-07,8.703929,9.464286,8.043214,9.227143,7.911032,4763323600
2010-05-14,9.112857,9.233929,8.436071,8.491429,7.280254,4613518000
2010-05-21,8.315000,9.067500,8.262500,9.048214,7.757623,4543072800
2010-05-28,9.263929,9.497857,9.048214,9.397143,8.056782,3030742400
2010-06-04,9.221786,9.353571,8.650000,8.946786,7.670663,4277002800
2010-06-11,8.865357,9.746429,8.834643,9.709643,8.324708,3390326800
2010-06-18,9.723214,9.964643,9.567857,9.607143,8.236830,3761108400
2010-06-25,9.645000,9.652500,8.686429,8.874286,7.608503,4030583200
2010-07-02,8.946071,9.389286,8.685714,9.217500,7.902765,2701778800
2010-07-09,9.174643,9.351786,8.801071,8.980357,7.699445,3824038400
2010-07-16,9.042143,9.469643,8.557143,9.250714,7.931241,4970277200
2010-07-23,9.181786,9.499643,9.146429,9.218214,7.903375,2702504000
2010-07-30,9.138929,9.438571,9.103571,9.346429,8.013301,2003391600
2010-08-06,9.277857,9.362500,8.790000,8.992500,7.709855,2354920400
2010-08-13,8.987500,9.095357,8.807857,8.924286,7.651371,1862341600
2010-08-20,8.906786,9.068571,8.471429,8.581429,7.357418,2464210000
2010-08-27,8.633929,9.006071,8.412857,9.006071,7.721491,2464932400
2010-09-03,9.110357,9.518571,9.089286,9.395357,8.055254,1828472800
2010-09-10,9.399643,9.881071,9.335714,9.877500,8.468621,2265944800
2010-09-17,9.917500,10.455714,9.774286,10.318571,8.846782,3332635600
2010-09-24,10.432143,10.526071,9.821429,10.133929,8.688478,3310400800
2010-10-01,10.219643,10.428214,9.920357,10.329286,8.855970,2464680400
2010-10-08,10.418214,10.802500,10.357143,10.796786,9.256785,2710089200
2010-10-15,10.980000,11.392857,10.715000,11.054286,9.477559,4521073200
2010-10-22,11.038214,11.128571,10.746429,10.901429,9.346507,2108223600
2010-10-29,10.865357,11.435000,10.745357,11.366786,9.745487,2439166800
2010-11-05,11.356786,11.475000,11.198214,11.308929,9.695881,1772066800
2010-11-12,11.285714,11.303571,10.634286,11.015357,9.444184,2831043600
2010-11-19,10.998929,11.264286,10.901429,11.242857,9.639235,1711091200
2010-11-26,11.205000,11.392857,11.102500,11.362500,9.741816,2109816800
2010-12-03,11.321786,11.571071,11.297857,11.420000,9.791112,1798115200
2010-12-10,11.416071,11.609286,11.378571,11.473214,9.836736,1792677600
2010-12-17,11.486786,11.632857,11.365357,11.557143,9.908692,1517972400
2010-12-24,11.530357,11.666429,11.482857,11.559286,9.910529,746373600
2010-12-31,11.533929,11.973214,11.475357,11.918929,10.218876,1503675600
2011-01-07,11.928214,12.380000,11.853571,12.345714,10.584785,1803970000
2011-01-14,12.353214,12.450000,11.642857,11.881429,10.186723,4090240000
2011-01-21,11.920357,12.342857,11.665357,12.257500,10.509151,2667854000
2011-01-28,12.291786,12.344643,11.911786,12.265714,10.516193,2048690000
2011-02-04,12.272857,12.857143,12.268214,12.662143,10.856081,2599198000
2011-02-11,12.669643,13.032143,12.626429,12.796429,10.971210,1973904800
2011-02-18,12.811071,12.839286,12.061429,12.245714,10.499049,2860368000
2011-02-25,12.330714,12.849643,12.314286,12.841429,11.009792,2342608800
2011-03-04,12.859643,12.916786,12.317857,12.381071,10.615098,2316552000
2011-03-11,12.333214,12.731429,11.652143,11.951429,10.246737,3449552400
2011-03-18,12.040357,12.357143,11.785714,12.320357,10.563047,2266247200
2011-03-25,12.431071,12.654286,12.359286,12.446786,10.671438,1714591200
2011-04-01,12.539643,12.556786,12.000000,12.074286,10.352074,2137464000
2011-04-08,12.140000,12.148214,11.786429,11.872143,10.178764,1850142000
2011-04-15,11.903571,12.683214,11.434286,12.525000,10.738499,2937359600
2011-04-22,12.512143,12.678214,12.340000,12.383929,10.617550,1322518400
2011-04-29,12.385000,12.641071,12.339286,12.383929,10.617550,2487626400
2011-05-06,12.488929,12.500000,12.223929,12.377500,10.612037,1424973200
2011-05-13,12.345000,12.366071,11.811786,12.161786,10.427092,1824172000
2011-05-20,12.127143,12.176786,11.765000,11.964286,10.257764,1560280400
2011-05-27,11.957143,12.576071,11.939643,12.360714,10.597645,1514819600
2011-06-03,12.256429,12.394643,11.808929,11.838929,10.150284,1913788800
2011-06-10,11.805357,11.901786,11.368929,11.612857,9.956457,2007784800
2011-06-17,11.749643,11.846071,11.089286,11.829643,10.142322,2699390400
2011-06-24,11.834643,12.025000,11.610357,11.988214,10.278277,1749420400
2011-07-01,11.998214,12.785714,11.935714,12.757143,10.937529,1634656800
2011-07-08,12.619286,12.914643,12.450714,12.777500,10.954982,2206089200
2011-07-15,12.898929,14.152500,12.827500,13.831786,11.858890,3344140800
2011-07-22,13.868571,14.446429,13.848214,13.993571,11.997598,2836475600
2011-07-29,13.844286,14.267857,13.476786,13.477500,11.555139,3488875600
2011-08-05,13.587143,13.696429,12.607857,13.346429,11.442760,5051634000
2011-08-12,13.502500,13.748929,12.906071,13.073214,11.208519,2781766400
2011-08-19,12.934643,13.534286,12.681786,13.347143,11.443377,3465652400
2011-08-26,13.256071,14.002857,13.242857,13.608214,11.667206,2330980400
2011-09-02,13.383571,13.878929,13.088571,13.719286,11.762437,1715372400
2011-09-09,13.711786,14.059286,13.282143,14.034286,12.032504,2425749200
2011-09-16,14.126429,15.102143,14.108214,14.350714,12.303802,3872584800
2011-09-23,14.295714,14.616071,13.793214,13.948929,11.959323,3072375600
2011-09-30,13.825714,13.888929,12.651429,13.477500,11.555139,4049469200
2011-10-07,13.420714,14.616071,13.160357,14.586786,12.506199,2632131600
2011-10-14,14.886786,15.239286,14.078929,14.118214,12.104464,3794344400
2011-10-21,14.217857,14.607143,13.955357,14.453214,12.391682,2504779200
2011-10-28,14.392857,14.618929,14.043571,14.395357,12.342079,2008871200
2011-11-04,14.358214,14.571429,13.648214,13.757857,11.795509,2276383200
2011-11-11,13.807500,13.969286,13.410714,13.478929,11.556364,2346612800
2011-11-18,13.532857,13.571071,13.068214,13.106786,11.237299,1657210800
2011-11-25,13.157857,13.892857,12.975714,13.854643,11.878489,1770148800
2011-12-02,13.922500,14.157500,13.812857,13.952143,11.962080,1700966400
2011-12-09,14.030357,14.121429,13.488571,13.533571,11.603209,1600076800
2011-12-16,13.584286,14.254643,13.556071,14.233929,12.203672,1459530800
2011-12-23,14.274643,14.610357,14.267500,14.468571,12.404844,979115200
2011-12-30,14.411071,14.948214,14.410357,14.929643,12.800157,1013174400
2012-01-06,14.991786,15.276786,14.955357,15.049643,12.903040,1398185600
2012-01-13,14.989286,15.406071,14.952143,15.276786,13.097782,1007448400
